CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
00.000.208/0001-00;2020-12-31;4;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.02.02.02;Derivativos;0.0000000000;S
00.000.208/0001-00;2020-12-31;4;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.02.02.02;Derivativos;0.0000000000;S
00.000.208/0001-00;2020-12-31;4;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.02.03;Ativos Financeiros Avaliados ao Valor Justo através de Outros Resultados Abrangentes;3012698.0000000000;S
00.000.208/0001-00;2020-12-31;4;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.02.03;Ativos Financeiros Avaliados ao Valor Justo através de Outros Resultados Abrangentes;3506535.0000000000;S
00.000.208/0001-00;2020-12-31;4;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.02.03.01;Títulos e Valores Mobiliários;3012698.0000000000;S
00.000.208/0001-00;2020-12-31;4;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.02.03.01;Títulos e Valores Mobiliários;3506535.0000000000;S
00.000.208/0001-00;2020-12-31;4;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.02.04;Ativos Financeiros ao Custo Amortizado;10905829.0000000000;S
00.000.208/0001-00;2020-12-31;4;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.02.04;Ativos Financeiros ao Custo Amortizado;15882584.0000000000;S
00.000.208/0001-00;2020-12-31;4;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.02.04.01;Aplicações em Depósitos Interfinanceiros;10065.0000000000;S
00.000.208/0001-00;2020-12-31;4;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.02.04.01;Aplicações em Depósitos Interfinanceiros;170451.0000000000;S
